,Общая,Жилая,Кухня,Этаж,Тип жилья,Планировка,Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат,Балкон/лоджия,Вид из окон,Отделка,Цена,Комнат,Район,Линк,Построен,Срок сдачи,Санузел,Высота потолков,Ремонт
3647,26,,,3,Новостройка,,,1 балкон,,,3817000,"Студия,",р-н Советский,https://kazan.cian.ru/sale/flat/245600171/,,2,1 совмещенный,,
3648,24,,,4,Вторичка,,,,,,900000,1-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/245467217/,1975,,,"2,48 м",Косметический
3649,84,,,4,Вторичка,,,1 балкон,,,9100000,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/236470005/,2015,,,,
3650,115,76,16,4,Вторичка,,,,,,13500000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/227893033/,2008,,,,Косметический
3651,41,15,12,2,Новостройка,,,1 балкон,Во двор,,3100000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/245060869/,,,1 совмещенный,,
3652,72,35,14,6,Вторичка,,,1 балкон,На улицу и двор,,5950000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/232721057/,2005,,1 совмещенный,,Евроремонт
3653,55,32,8,1,Вторичка,Изолированная,"19+13,7 м²",,На улицу,,4600000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/222160290/,1960,,1 раздельный,,Косметический
3654,95,60,13,1,Вторичка,,,1 лоджия,,,8000000,3-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/240621261/,2003,,,"2,7 м",
3655,48,,,4,Вторичка,,,1 балкон,,,4464000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/245724563/,2008,,,"2,5 м",Евроремонт
3656,18,13,,2,Вторичка,,,1 лоджия,,,870000,1-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/245911368/,,,,,Евроремонт
3657,96,63,14,4,Вторичка,Изолированная,27.5-24.8-11.4 м²,1 лоджия,На улицу и двор,,11000000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/243904169/,,,1 раздельный,"2,7 м",
3658,30,17,6,5,Вторичка,,17.6 м²,1 балкон,Во двор,,2190000,1-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/245901256/,,,1 совмещенный,,
3659,48,,,17,Вторичка,,,1 балкон,,,3650000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/236804626/,,,,,Без ремонта
3660,53,,,4,Вторичка,,,,,,4500000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/246045880/,1987,,,"2,51 м",Евроремонт
3661,39,,,10,Новостройка,,,1 лоджия,,,3900000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/233007871/,,2,1 совмещенный,,
3662,31,,8,4,Вторичка,,,1 балкон,,,3550000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/243852892/,2003,,,,Косметический
3663,53,26,11,3,Новостройка,,16-10 м²,,,,5100000,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/245847120/,,,1 раздельный,,
3664,168,,,3,Вторичка,Изолированная,,2 балкона,На улицу и двор,,9500000,4-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/238827949/,2001,,2 совмещенных,"2,5 м",Евроремонт
3665,33,,,2,Вторичка,,,,,,4150000,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245497849/,1994,,,,Косметический
3666,39,,,5,Новостройка,,,1 балкон,,,4233000,1-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/245780996/,,4,1 совмещенный,,
3667,46,18,12,2,Вторичка,,,"1 балкон, 1 лоджия",На улицу,,4400000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/238597808/,2020,,1 совмещенный,"2,1 м",Без ремонта
3668,34,,,12,Вторичка,,,1 балкон,,,4535000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/244559877/,2019,,,,
3669,92,59,10,1,Вторичка,Изолированная,,1 балкон,Во двор,,8000000,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/241382351/,,,1 раздельный,,
3670,88,52,,4,Новостройка,,52.80 м²,1 лоджия,,,7761749,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/240373599/,,4,"1 совмещенный, 1 раздельный","2,8 м",
3671,75,38,13,3,Вторичка,Изолированная,24.97+13.05 м²,1 лоджия,На улицу,,6420000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/234741511/,2015,,1 раздельный,"2,5 м",Евроремонт
3672,67,,,4,Вторичка,,,1 лоджия,Во двор,,5290000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/244754620/,1985,,1 раздельный,"2,51 м",Косметический
3673,38,,,23,Новостройка,,,1 балкон,,,4550000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245076028/,,,,,
3674,180,,26,16,Вторичка,Изолированная,,1 балкон,,,18032716,4-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/242129461/,2019,,"1 совмещенный, 2 раздельных",3 м,Без ремонта
3675,47,,,3,Вторичка,,,1 балкон,,,4500000,2-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/245700677/,1966,,,,Косметический
3676,83,42,16,3,Вторичка,,,1 балкон,,,8850000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245511638/,2017,,,"2,85 м",
3677,34,12,9,9,Новостройка,,12.2 м²,1 лоджия,На улицу и двор,Нет,3650000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/240711561/,,,1 совмещенный,"2,7 м",
3678,184,153,10,4,Вторичка,,,1 лоджия,На улицу и двор,,12500000,5-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/243389851/,2007,,"1 совмещенный, 1 раздельный",3 м,Евроремонт
3679,32,15,9,12,Вторичка,,15 м²,1 балкон,На улицу,,3990000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/243726308/,2019,,1 совмещенный,,Без ремонта
3680,65,,,8,Вторичка,Изолированная,,1 лоджия,Во двор,,4890000,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/232584218/,1985,,1 раздельный,,Евроремонт
3681,38,,,14,Вторичка,,,,,,4990000,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/243852954/,2014,,,,
3682,113,73,15,9,Вторичка,,,1 балкон,,,19000000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/241659833/,2013,,,3 м,
3683,46,14,14,2,Новостройка Апартаменты,,14.9 м²,,Во двор,,8770986,1-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/240819204/,,,1 совмещенный,3 м,
3684,17,,,1,Вторичка,,,1 балкон,,,1650000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/241409519/,1983,,,,Косметический
3685,72,,,11,Вторичка,Изолированная,,1 лоджия,На улицу и двор,,5850000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/241784054/,,,1 раздельный,,Без ремонта
3686,72,39,,11,Новостройка,,39.3 м²,,,,4800000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245545995/,,,1 раздельный,,
3687,31,15,8,5,Новостройка,,15.9 м²,1 лоджия,,,3281580,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245928131/,,,1 совмещенный,,
3688,52,25,11,3,Новостройка,,11.3-14.4 м²,1 балкон,,,9630000,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/242988994/,,4,1 раздельный,,
3689,60,31,10,11,Вторичка,Изолированная,13-18 м²,1 лоджия,,,5700000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/242155624/,,,1 раздельный,,Без ремонта
3690,48,28,15,12,Вторичка,,,,,,4970000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/243301149/,,,,"2,75 м",
3691,42,24,5,7,Вторичка,Изолированная,,1 балкон,,,3300000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/241943905/,1979,,1 совмещенный,,
3692,61,38,8,4,Вторичка,,,,,,5000000,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/237435174/,,,,,
3693,79,,22,12,Вторичка,,,1 лоджия,,,7600000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/221903052/,,,1 раздельный,,Дизайнерский
3694,114,,,14,Вторичка,Изолированная,,2 балкона,Во двор,,11900000,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/206104481/,2015,,2 совмещенных,,Дизайнерский
3695,150,65,20,14,Вторичка,Изолированная,30+20+15 м²,,На улицу,,28500000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/228454612/,2008,,1 совмещенный,3 м,Дизайнерский
3696,60,,,4,Новостройка,,,1 балкон,,,5300000,3-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/235074709/,,,,,
3697,20,,,2,Вторичка,,,,Во двор,,1550000,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/242245345/,1959,,1 совмещенный,"2,51 м",Евроремонт
3698,37,22,9,2,Вторичка,,,1 лоджия,Во двор,,2860000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/237633246/,2014,,1 совмещенный,,Косметический
3699,46,,,22,Вторичка,,,1 лоджия,На улицу,,5870000,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/227950276/,2018,,,"3,2 м",Без ремонта
3700,54,30,9,10,Вторичка,,,1 балкон,,,6300000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/243930230/,2000,,,,Без ремонта
3701,90,58,10,8,Вторичка,,,,,,8500000,5-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/237346624/,,,,,
3702,84,42,16,16,Вторичка,,,1 лоджия,,,6190000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245643788/,2000,,,"2,6 м",
3703,150,68,16,2,Вторичка,Изолированная,30-20-18 м²,3 балкона,На улицу и двор,,20000000,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/245832861/,,,2 совмещенных,,Евроремонт
3704,52,,,1,Новостройка,,,,,,5460125,"Студия,",р-н Советский,https://kazan.cian.ru/sale/flat/238692609/,,3,,,
3705,82,44,15,2,Вторичка,Смежно-изолированная,27-17 м²,1 лоджия,На улицу и двор,,7990000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/239344195/,,,1 совмещенный,"3,1 м",Косметический
3706,32,16,7,7,Вторичка,,16 м²,,,,3800000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245210796/,,,1 совмещенный,"2,7 м",Косметический
3707,39,,,6,Вторичка,,,1 балкон,,,4900000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/243402266/,2017,,,,
3708,50,,,2,Вторичка,,,1 балкон,,,5700000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/230032455/,2007,,,,
3709,80,50,20,34,Вторичка,Изолированная,25-25 м²,,Во двор,,7350000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/242376886/,,,1 раздельный,,Без ремонта
3710,78,51,7,5,Вторичка,,,1 лоджия,,,2449000,4-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/224197472/,1986,,,"2,5 м",
3711,45,30,6,5,Вторичка,Смежная,,1 балкон,На улицу,,3900000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/244345413/,1966,,1 совмещенный,,Косметический
3712,45,34,9,2,Новостройка,,34 м²,1 балкон,На улицу,Чистовая,3200000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/243570965/,,4,1 совмещенный,,
3713,98,,,6,Вторичка,,,1 балкон,,,11300000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/244844225/,2018,,,,Дизайнерский
3714,51,30,9,8,Вторичка,Изолированная,,1 балкон,На улицу,,4300000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/245927429/,1989,,1 раздельный,,
3715,138,92,11,3,Вторичка,Изолированная,,1 лоджия,На улицу и двор,,14929999,4-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/220315704/,2011,,2 раздельных,"2,9 м",Дизайнерский
3716,46,17,14,1,Новостройка,,9.18-8.3 м²,1 лоджия,Во двор,,4447910,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/242013501/,,1,1 совмещенный,"2,6 м",
3717,44,30,6,2,Вторичка,,,,На улицу и двор,,3990000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245944044/,1962,,1 совмещенный,"2,7 м",Евроремонт
3718,57,42,6,5,Вторичка,Смежно-изолированная,18+12-11 м²,1 балкон,Во двор,,4200000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/227334082/,2015,,1 совмещенный,"2,48 м",Косметический
3719,68,40,13,9,Вторичка,Изолированная,"22+17,6 м²",1 лоджия,,,7300000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/242691091/,2012,,2 раздельных,"2,8 м",Косметический
3720,35,14,9,4,Вторичка,,,1 лоджия,Во двор,,4500000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/242648940/,2006,,1 совмещенный,"2,5 м",Косметический
3721,28,,21,5,Новостройка,,,,На улицу,Нет,2607600,"Студия,",р-н Московский,https://kazan.cian.ru/sale/flat/235788382/,,3,1 совмещенный,,
3722,71,31,,12,Новостройка,,31.69 м²,1 балкон,,,9013947,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/237389223/,,3,1 раздельный,"3,05 м",
3723,19,,,5,Вторичка,,,1 балкон,,,1250000,"Студия,",р-н Советский,https://kazan.cian.ru/sale/flat/244559918/,1982,,,,Косметический
3724,20,15,3,2,Вторичка,,,,,,1300000,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245756178/,1958,,,"2,8 м",
3725,97,,17,5,Вторичка,Изолированная,"23,3+23,6 м²",2 лоджии,На улицу и двор,,12049000,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/240691510/,2007,,"1 совмещенный, 2 раздельных",,Дизайнерский
3726,94,27,30,4,Вторичка,Изолированная,12-15 м²,,Во двор,,16070000,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/244963269/,2014,,2 раздельных,"2,95 м",Без ремонта
3727,28,26,,3,Вторичка,,26 м²,1 балкон,Во двор,,3880000,1-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/244491270/,1937,,1 совмещенный,"2,5 м",Косметический
3728,37,10,16,4,Новостройка,,10.6 м²,,Во двор,,3991100,1-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/239049466/,,3,1 совмещенный,,
3729,107,,,1,Вторичка,,,1 балкон,,,9850000,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/240758349/,1999,,,,Косметический
3730,121,,,8,Новостройка,,0.00 м²,,,,12678510,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/226269191/,,4,,"3,05 м",
3731,37,22,5,3,Новостройка,,,,Во двор,Черновая,3349999,2-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/237451701/,,,,,
3732,80,28,24,6,Вторичка,,,2 лоджии,,,10000000,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/245575124/,2003,,,"2,8 м",
3733,32,16,6,4,Вторичка,,,1 балкон,Во двор,,3349000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/244816693/,1963,,1 совмещенный,"2,6 м",Косметический
3734,83,,14,9,Новостройка,,,1 балкон,,,8220000,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/245075964/,,,,,
3735,32,,,15,Новостройка,,,1 балкон,,,3800000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/245938624/,,,,,
3736,45,24,8,8,Вторичка,,,1 лоджия,На улицу,,4450000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/241003308/,,,1 раздельный,,Косметический
3737,59,31,11,2,Новостройка,Изолированная,17.1-14.1 м²,1 балкон,Во двор,,6420000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/223971758/,,,1 совмещенный,,
3738,44,,,5,Вторичка,,,1 балкон,,,3800000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245938610/,1969,,,,Косметический
3739,42,19,9,5,Новостройка,Изолированная,9.3-9.9 м²,1 балкон,Во двор,Нет,4400000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/231092402/,,,1 совмещенный,,
3740,45,24,8,14,Новостройка,,,1 балкон,На улицу,Черновая,3430000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/235291274/,,3,1 раздельный,,
3741,53,28,14,7,Новостройка,Изолированная,15-13 м²,1 лоджия,На улицу и двор,,4399000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/243542935/,,,1 раздельный,3 м,
3742,85,55,16,8,Вторичка,,,1 лоджия,На улицу и двор,,8100000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245471462/,2006,,1 совмещенный,"2,7 м",Евроремонт
3743,36,,,1,Вторичка,,,1 лоджия,,,3200000,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/220175794/,1988,,,,Косметический
3744,48,,,13,Новостройка,,,1 балкон,,,3600000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/242530369/,,,,,
3745,69,,,5,Вторичка,,,1 балкон,,,9900000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/235845340/,2005,,,,Дизайнерский
3746,56,,,7,Новостройка,,,1 балкон,,,5600000,2-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/245671386/,,2,,,
3747,59,33,8,5,Вторичка,,,1 лоджия,,,4700000,2-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/245164316/,1986,,,"2,5 м",
3748,44,,,5,Вторичка,,,1 балкон,,,3550000,2-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/243974780/,1968,,,,
3749,71,31,,10,Новостройка,,31.69 м²,1 балкон,,,8846980,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/224565976/,,3,1 раздельный,"3,05 м",
3750,33,16,7,2,Вторичка,,,1 балкон,,,3395000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/238492302/,2006,,,0 м,
3751,121,75,15,15,Вторичка,Изолированная,31.2-22.9-20.9 м²,"1 балкон, 1 лоджия",На улицу и двор,,13170926,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/244594098/,,,2 совмещенных,"2,7 м",Без ремонта
3752,17,17,,1,Вторичка,,,,Во двор,,1750000,1-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/245594646/,1978,,1 совмещенный,,Косметический
3753,113,,,6,Вторичка,,,"1 балкон, 1 лоджия",Во двор,,7890000,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/239310156/,2015,,2 раздельных,,Без ремонта
3754,44,30,6,1,Вторичка,Смежно-изолированная,17-13.4 м²,,Во двор,,2720000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/234737760/,1968,,1 совмещенный,"2,4 м",Косметический
3755,38,11,15,10,Новостройка,,,,,Черновая,5085920,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/226678051/,,1,,,
3756,32,,,13,Вторичка,,,1 балкон,,,3400000,"Студия,",р-н Советский,https://kazan.cian.ru/sale/flat/245445561/,2020,,,,Без ремонта
3757,50,,,5,Новостройка,,,1 балкон,Во двор,Черновая,5755000,1-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/244415464/,,2,1 совмещенный,,
3758,52,28,8,4,Вторичка,Изолированная,,1 балкон,На улицу,,4500000,2-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/245305641/,1983,,1 раздельный,,Косметический
3759,65,39,9,2,Вторичка,Изолированная,9-13-17 м²,1 лоджия,Во двор,,5700000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/243664289/,,,1 раздельный,,Евроремонт
3760,35,,,8,Вторичка,,,1 балкон,,,3780000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/238749769/,1988,,,,
3761,47,,,7,Вторичка,,,,,,6000000,1-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/245766550/,2006,,,"2,5 м",Дизайнерский
3762,94,47,12,8,Вторичка,,"16,8+16,6+14 м²",2 лоджии,На улицу и двор,,6400000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/242376720/,2011,,1 раздельный,,Косметический
3763,45,31,6,5,Вторичка,,"12,8-18,6 м²",1 балкон,Во двор,,4500000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/242016587/,1966,,1 совмещенный,"2,5 м",Евроремонт
3764,84,,,3,Вторичка,,,1 балкон,,,10500000,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/245076000/,1938,,,,Дизайнерский
3765,15,,,1,Вторичка,,,,Во двор,,1350000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/226925831/,1975,,1 совмещенный,,Евроремонт
3766,57,38,6,5,Вторичка,,,1 балкон,На улицу и двор,,4600000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245944209/,1966,,,"2,7 м",Евроремонт
3767,25,,,2,Вторичка,,,1 балкон,,,2890520,"Студия,",р-н Советский,https://kazan.cian.ru/sale/flat/245771007/,2020,,1 совмещенный,"2,8 м",Косметический
3768,87,,,9,Вторичка,,,1 балкон,,,7515000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245745482/,2019,,,,Косметический
3769,85,,,4,Вторичка,,,1 балкон,,,12200000,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/240832290/,2006,,,,
3770,94,,,4,Вторичка,,,1 балкон,На улицу и двор,,9300000,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/232204247/,2016,,1 раздельный,,Без ремонта
3771,61,46,6,5,Вторичка,Смежно-изолированная,17+8+8+12 м²,1 балкон,На улицу и двор,,4250000,4-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/244509760/,1972,,,"2,48 м",Косметический
3772,52,,,16,Новостройка,,,1 балкон,,,6455000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245700707/,,,,,
3773,125,75,,7,Новостройка,,75.20 м²,2 балкона,,,12102067,4-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/231327986/,,4,"1 совмещенный, 1 раздельный","2,85 м",
3774,15,14,1,1,Вторичка,,,,На улицу,,1170000,"Студия,",р-н Авиастроительный,https://kazan.cian.ru/sale/flat/241599631/,1947,,1 совмещенный,3 м,Дизайнерский
3775,49,,,3,Вторичка,,,1 балкон,,,2990000,3-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/244092128/,1973,,,,
3776,665,,,17,Вторичка,,,1 балкон,,,65000000,4-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/246012094/,2013,,,,Дизайнерский
3777,56,40,5,2,Вторичка,Смежно-изолированная,,,,,3900000,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/242333723/,1986,,1 раздельный,,Косметический
3778,44,31,5,5,Вторичка,Смежная,,1 балкон,Во двор,,2950000,2-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/226722512/,1975,,1 совмещенный,"2,48 м",Евроремонт
3779,35,16,7,1,Вторичка,,16.8 м²,,Во двор,,3150000,1-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/245196980/,,,1 совмещенный,,Евроремонт
3780,31,21,6,1,Вторичка,,,,,,3300000,1-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/245088144/,1969,,,"2,7 м",
3781,82,,,1,Вторичка,,,1 балкон,,,6700000,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/240758346/,2009,,,,
3782,84,58,4,9,Новостройка,,"16,7+18,6+23,5 м²",2 балкона,На улицу и двор,Черновая,6901000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/243446030/,,1,1 раздельный,,
3783,63,,,6,Вторичка,,,1 балкон,,,7200000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/245865984/,2019,,,,
3784,36,25,4,3,Вторичка,,,,Во двор,,1800000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/240162640/,1998,,1 раздельный,"2,5 м",Косметический
3785,34,,,1,Вторичка,,,1 балкон,,,3780000,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/244887558/,1996,,,,Косметический
3786,103,,,5,Вторичка,Изолированная,,1 балкон,,,8100000,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/241123236/,2002,,"1 совмещенный, 1 раздельный","2,5 м",Дизайнерский
3787,72,45,10,12,Новостройка,,11.88+15.58+17.93 м²,2 балкона,На улицу и двор,Черновая,5500000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/241314300/,,4,1 раздельный,,
3788,89,55,11,5,Новостройка,Изолированная,18.1-14.1-23.1 м²,1 балкон,,Нет,6000000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/240793972/,,,1 раздельный,,
3789,32,15,6,8,Вторичка,,15 м²,1 балкон,На улицу и двор,,3800000,"Студия,",р-н Советский,https://kazan.cian.ru/sale/flat/245915237/,2020,,1 совмещенный,"2,7 м",Без ремонта
3790,81,48,12,7,Новостройка,Изолированная,12.7-15.4-20.2 м²,1 лоджия,На улицу,,6600000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/240452033/,,,2 раздельных,"2,8 м",
3791,45,30,6,5,Вторичка,,,1 балкон,,,3700000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245515977/,,,,,
3792,60,33,12,16,Вторичка,,,1 балкон,,,5500000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/244648064/,2012,,,"2,7 м",
3793,66,,,13,Новостройка,,,,,,6466000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/240670727/,,1,,,
3794,56,30,,16,Вторичка,,,1 лоджия,,,6227100,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245961654/,2019,,,,Без ремонта
3795,36,,,8,Новостройка,,,1 лоджия,,Нет,4150000,1-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/224946697/,,1,,,
3796,21,11,5,1,Вторичка,,11.9 м²,,Во двор,,2600000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/243893207/,1977,,1 совмещенный,,
3797,80,,,4,Вторичка,,,1 балкон,,,6400000,4-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/236635194/,2001,,,,Косметический
3798,52,,,2,Вторичка,,,1 балкон,,,3950000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245784565/,1984,,,,
3799,60,28,11,3,Вторичка,,,1 балкон,,,7990000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/246025205/,2016,,,"2,7 м",
3800,77,44,13,10,Новостройка,,17.9-12.7-14.4 м²,1 балкон,,,6012000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/228949418/,,,2 раздельных,,
3801,69,30,21,4,Новостройка,Изолированная,14.2-15.9 м²,1 балкон,На улицу и двор,,8180000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/240452034/,,,1 раздельный,"2,7 м",
3802,19,,,5,Вторичка,,,1 балкон,,,1710000,1-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/245629698/,1959,,,,
3803,57,,,2,Вторичка,,,1 балкон,,,5050000,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/241105775/,1991,,,,
3804,85,,,2,Вторичка,,,,,,17850000,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/245060762/,,,,,Дизайнерский
